,Nombre,Marca,Coste,Género,Url,web_origen
92,Future Z 4.1,puma,"49,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/puma-future-z-4-1-0307888,sprinter.com
93,Future Z 1.1,puma,"189,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/puma-future-z-1-1-0307891,sprinter.com
94,Superfly Academy Mg/fg,nike,"89,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/nike-superfly-academy-mg/fg-0300556,sprinter.com
95,Done,ankor,"3,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/ankor-done-0310949,sprinter.com
96,Cala,up,"9,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-cala-0311078,sprinter.com
97,Copa Sense 4,adidas,"39,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-copa-sense-4-0306198,sprinter.com
98,Noel,up,"9,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-noel-0311056,sprinter.com
99,Og 85,skechers,"64,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/skechers-og-85-0305971,sprinter.com
100,Noel,up,"9,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-noel-0311058,sprinter.com
101,Court Legacy,nike,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-court-legacy-0309677,sprinter.com
102,Cala,up,"9,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-cala-0311079,sprinter.com
103,Japan,asics,"79,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/asics-japan-0307741,sprinter.com
104,Liberate Nitro,puma,"104,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-liberate-nitro-0304921,sprinter.com
105,Noel,up,"9,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-noel-0311057,sprinter.com
106,Vega,up,"5,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/up-vega-0311048,sprinter.com
107,Og 85,skechers,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/skechers-og-85-0305966,sprinter.com
108,Air Zoom Vomero 15,nike,"139,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-zoom-vomero-15-0309646,sprinter.com
109,Solar Boost 3,adidas,"149,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-solar-boost-3-0306194,sprinter.com
110,Predator Freak 3 Mg,adidas,"89,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-predator-freak-3-mg-0306192,sprinter.com
111,Future Z 4.1,puma,"49,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/puma-future-z-4-1-0307889,sprinter.com
112,Asher,vans,"64,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-asher-0305645,sprinter.com
113,M1000,joma,"29,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/joma-m1000-0307419,sprinter.com
114,X Ghosted 3 Fg,adidas,"89,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-x-ghosted-3-fg-0308979,sprinter.com
115,Victori One,nike,"29,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-one-0307597,sprinter.com
116,Silver Marki,chanclas,"5,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/chanclas-silver-marki-0293848,sprinter.com
117,React Miler 2,nike,"119,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-react-miler-2-0309641,sprinter.com
118,Smash,puma,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-smash-0311942,sprinter.com
119,Chuck Taylor All Star Move,converse,"79,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/converse-chuck-taylor-all-star-move-0310253,sprinter.com
120,Class Mood,ipanema,"24,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/ipanema-class-mood-0311506,sprinter.com
121,Gel Excite 8,asics,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/asics-gel-excite-8-0304012,sprinter.com
122,Wave Daichi 5,mizuno,"119,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/mizuno-wave-daichi-5-0308121,sprinter.com
